Feature,Importance
salary,0.27426600631083703
employment_type_Full-time,0.25621810286116503
age,0.1900954697427643
has_dependents_No,0.18647286762526505
has_dependents_Yes,0.09294755345996866
tenure_years,0.0
gender_Female,0.0
marital_status_Married,0.0
gender_Male,0.0
gender_Other,0.0
marital_status_Divorced,0.0
employment_type_Contract,0.0
marital_status_Widowed,0.0
marital_status_Single,0.0
employment_type_Part-time,0.0
region_Northeast,0.0
region_Midwest,0.0
region_West,0.0
region_South,0.0
